"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Handmade Neem Wood Comb (Two in one)","Isha Life SG","Body Care - Neem Comb",7,56,0,-7,49,0,49
"Women Organic Cotton Embroidered Aum Kurta - Pink","Isha Life SG","Clothing - Women's Kurtas",2,49,0,0,49,0,49
"Men's White Hemp Kurta","A.P. Exports","Clothing - Men's Kurtas",2,49,0,0,49,0,49
"Indian Experience Towel - Big","Isha Life SG","Clothing - Towels",4,48,0,0,48,0,48
"Bloom Purifying & Acne Control Organic Face Wash With Neem & Tulsi Extract (Oily Skin) - 100ml","Isha Life SG","Bloom Skin Care",3,48,0,0,48,0,48
"Youth and Truth Journal - Grey","Isha Life SG","Home Decor - Journals",4,48,0,0,48,0,48
"Golden Diffuser Perfume Burner","Isha Life SG","Home Decor - Burners & Fumers",1,47,0,0,47,0,47
"Unisex Save Soil Print Short Sleeve Organic Cotton Olive Green T-Shirt","A.P. Exports","Clothing - Unisex T-Shirts",3,45,0,0,45,0,45
"Kundalini Charms Bracelet","Isha Life SG","Jewellery - Bracelets",3,45,0,0,45,0,45
"Copper Tea Light Holder","Isha Life SG","Home Decor - Light Holders",3,45,0,0,45,0,45
"Amla Tablet, 60 pcs - Immunity booster","A.P. Exports","Health - Herbal Supplements",9,45,0,0,45,0,45
"Incense Holder Elm Leaf","Isha Life SG","Home Decor - Incense Stands",1,45,0,0,45,0,45
"Moringa Energy Bar","A.P. Exports","Natural Foods",44,50,0,-6,44,0,44
